pagina / lichting / lezen
tennis / eet / poot
winkel / taal / veger
peper / muziek / wal
alarm / bos / blaar
recht / toon / biljet
zwem / hals / auto
lees / toilet / duik
blazen / borrel / brillen
vinger / trouw / baan
kast / stand / kilo
span / hand / thee
dop / achter / tand
kook / nummer / borst
afvoer / beeld / dwang
zomer / zone / schrift
punt / vorm / sporter
kop / gordijn / mops
kerst / boek / vrij
taart / aard / pijn
straf / stelling / balk
steen / zuur / raap
griep / bier / scheur
belasting / nacht / regeling
haar / fiets / breed
reis / model / kaartje
neus / flessen / erwt
doek / broek / binnen
witje / plak / pop
hand / machine / middel
wand / flipper / plank
boom / hagel / zin
code / kantoor / aftrek
breek / erts / draad
problemen / los / boete
arm / fiets / breedte
